Unique ID,inventory_year,company_proponent,project_name,province,sector,company_type,group,cleantech,opening inventory flag,freshman flag,graduate flag,dropout flag,construction flag,planned flag,size_bin
390,2018,Seabridge Gold Inc.,Kerr-Sulphurets-Mitchell (KSM),BC,Mining,Private,Precious Metal,No,1,0,0,0,0,1,"$5,000M+"
392,2018,Selkirk Power Company Ltd.,Beaver River Hydroelectric Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,$100M - $499M
397,2018,"LNG Canada (Shell Canada Limited, PETRONAS, Korea Gas Corporation (KOGAS), Mitsubishi Corporation, and PetroChina Company Limited)",LNG Canada Phase 1,BC,Energy,Private,Oil & Gas - Downstream,No,1,0,0,0,0,1,"$5,000M+"
399,2018,Canadian Natural Resources Limited,AOSP Jackpine,AB,Energy,Private,Other,Yes,1,0,0,0,0,0,"$5,000M+"
401,2018,Shell Exploration,Offshore Oil and Gas Exploration,NS,Energy,Private,Oil & Gas - Upstream,No,1,0,1,1,0,0,"$1,000M - $4,999M"
402,2018,Minco,Lundberg Zone Base Metals,NL,Mining,Private,Critical Mineral,Yes,1,0,0,0,0,1,$100M - $499M
403,2018,Shore Gold Inc.,Star-Orion Diamond Project,SK,Mining,Private,Precious Metal,No,1,0,0,0,0,1,"$1,000M - $4,999M"
405,2018,Skyline Gold Corporation,Bronson Slope Hydropower Projects,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,$100M - $499M
406,2018,Skyline Gold Corporation,Bronson Slope Copper/Gold/Silver/Molybdenum Mine,BC,Mining,Private,Precious Metal,No,1,0,0,0,0,0,$100M - $499M
409,2018,SCCC Petroleum Corporation,Red Earth Pilot,AB,Energy,Private,Other,Yes,0,1,0,1,0,1,<$100M
415,2018,BluEarth Renewables,Stlixwim Renewable Energy Initiative-Ramona 3/Chickwat Creek/CC Creek/Narrows Inlet Hydro Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,0,$100M - $499M
418,2018,Strata Oil & Gas Inc.,Cadotte (Strata),AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,1,1,$100M - $499M
421,2018,Fort Hills Energy Corp. (Suncor/Total/Teck Cominco),Fort Hills (Mining),AB,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,"$5,000M+"
423,2018,Suncor Energy Inc.,Firebag,AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,1,"$1,000M - $4,999M"
425,2018,"Suncor, ExxonMobil, Statoil, Husky Energy , Murphy Oil, Chevron, Mosbacher",Terra Nova (Asset Life Extension),NL,Energy,Private,Other,Yes,0,1,0,0,0,1,$100M - $499M
426,2018,Sunshine Oilsands,Legend Lake,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
427,2018,Sunshine Oilsands Ltd.,Thickwood (Sunshine),AB,Energy,Private,Waste Biomass,Yes,1,0,0,0,0,1,"$1,000M - $4,999M"
429,2018,Sunshine Oilsands Ltd.,West Ells,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
430,2018,Superior Laminated Lumber Corporation,construction of a new laminated veneer lumber manufacturing plant,ON,Forest,Private,Lumber,No,1,0,0,0,0,1,<$100M
435,2018,Syncrude Canada Ltd.,Syncrude (upgrading),AB,Energy,Private,Other,Yes,1,0,0,0,0,1,"$5,000M+"
436,2018,Syntaris Power Corp.,Jade Lake Power Project,BC,Energy,Private,Low Carbon Fuels,Yes,1,0,0,0,0,1,$100M - $499M
443,2018,Teck Coal Ltd.,Line Creek Coal Mine,BC,Mining,Private,Coal,No,1,0,0,0,0,0,<$100M
445,2018,Teck Resources Ltd.,Frontier and Equinox,AB,Energy,Private,Other,Yes,1,0,0,1,0,1,"$5,000M+"
467,2018,Vale,Copper Cliff Deep project,ON,Mining,Private,Base Metal,No,0,1,0,0,0,1,$500M - $999M
474,2018,Various project proponents,Local small scale community and First Nations renewable energy projects,NB,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,$100M - $499M
477,2018,Victoria Gold Corporation,Dublin Gulch (Eagle Gold),YK,Mining,Private,Precious Metal,No,1,0,0,0,0,0,$100M - $499M
478,2018,Victory Nickel,Minago,MB,Mining,Private,Critical Mineral,Yes,1,0,0,0,1,0,$500M - $999M
481,2018,Fort St. James Green Energy Limited Partnership,Fort St-James Green Energy Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,1,0,0,$100M - $499M
482,2018,Western Bioenergy Inc.,Merritt Green Energy Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,0,$100M - $499M
488,2018,Western Copper and Gold Corporation,Casino Mine,YK,Mining,Private,Precious Metal,No,1,0,0,0,1,1,"$1,000M - $4,999M"
489,2018,Western GeoPower Corporation - Ram Power Corp.,South Meager Creek Geothermal Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,0,$100M - $499M
490,2018,Western Potash,Milestone,SK,Mining,Private,Critical Mineral,Yes,1,0,0,1,0,1,<$100M
492,2018,Wildmare Wind Energy EP,Wildmare Wind Energy Project,BC,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,0,$100M - $499M
503,2018,Alcoa,Modernisation d'aluminerie,QC,Mining,Private,Other,No,1,0,0,1,0,0,<$100M
516,2018,Centerra Gold Inc.,Kemess Underground Copper-Gold Mine,BC,Mining,Private,Precious Metal,No,1,0,0,0,1,1,$500M - $999M
519,2018,BC Hydro,"Surrey Area Substation Project (formerly Fleetwood Substation Project and Fraser Valley West Reinforcements),",BC,Energy,Public,Trans & Distr,No,1,0,0,0,0,0,<$100M
521,2018,BP,Offshore Oil and Gas Exploration,NS,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,1,0,"$1,000M - $4,999M"
522,2018,BURNCO Rock Products Ltd.,BURNCO Aggregate Project (McNab Creek),BC,Mining,Private,Other,No,1,0,0,0,1,1,<$100M
524,2018,Canadian Natural Resources Ltd. (CNRL),Kirby North,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,0,"$1,000M - $4,999M"
531,2018,City of Surrey,Organic Biofuel Facility,BC,Energy,Public,Low Carbon Fuels,Yes,1,0,0,0,1,0,<$100M
533,2018,Granite Creek Copper,Carmacks Copper Project,YK,Mining,Private,Base Metal,No,1,0,0,0,1,1,$100M - $499M
536,2018,ecoTECH Energy Group (Canada) Inc,Biomass Project - McBride,BC,Energy,Private,Waste Biomass,Yes,1,0,0,0,0,1,$100M - $499M
538,2018,Elizabeth Falls Hydro Development Corporation,Tazi Twe Hydroelectric Project (Elizabeth Falls Hydro Project),SK,Energy,Public,Clean Electricity,Yes,1,0,0,0,0,0,$500M - $999M
540,2018,Enbridge Pipelines Inc.,Northern Gateway Pipeline,Multi,Energy,Private,Trans & Distr,No,1,0,0,1,0,0,"$5,000M+"
542,2018,Encanto Potash / Muskowekwan Resources Ltd.,Muskowekwan Potash Mine,SK,Mining,Private,Precious Metal,No,1,0,0,1,0,1,"$1,000M - $4,999M"
547,2018,Hydro-Quebec,Raccordement du complexe de La Romaine au reseau de transport,QC,Energy,Public,Clean Electricity,Yes,1,0,0,0,0,0,"$1,000M - $4,999M"
560,2018,Keyera Corp.,Rimbey Gas Plant Expansion,AB,Energy,Private,Oil & Gas - Downstream,No,1,0,1,0,1,0,$100M - $499M
565,2018,Matamec Explorations Inc.,Kipawa (Zeus),QC,Mining,Private,Other,No,1,0,0,0,0,0,$100M - $499M
566,2018,MEG Energy Corp.,Surmont (MEG),AB,Energy,Private,Clean Electricity,Yes,1,0,0,1,0,1,"$5,000M+"
573,2018,Nalcor Energy,Labrador-Island Transmission Link,NL,Energy,Private,Trans & Distr,No,1,0,0,0,0,0,"$1,000M - $4,999M"
574,2018,Naturener Energy Canada,Wild Rose' Wind Farm Phase 2 (162MW),AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,$100M - $499M
575,2018,Artemis Gold Inc,Blackwater Gold Project,BC,Mining,Private,Precious Metal,No,1,0,0,0,0,1,"$1,000M - $4,999M"
577,2018,North West Redwater Partnership (Canadian Natural Resources Ltd. (CNRL) / North West Upgrading Inc.),North West Bitumen Upgrader Phase 1,AB,Energy,Private,Oil & Gas - Upstream,No,1,0,0,0,0,0,"$5,000M+"
578,2018,Oak Point Energy Ltd.,Lewis Steepbank (Oak Point),AB,Energy,Private,Clean Electricity,Yes,1,0,0,0,1,1,<$100M
582,2018,Pieridae Energy,Goldboro LNG Export facility,NS,Energy,Private,Oil & Gas - Downstream,No,1,0,0,0,0,1,"$5,000M+"
583,2018,Wellgreen Platinum Ltd.,Wellgreen,YK,Mining,Private,Other,No,1,0,0,0,0,1,$500M - $999M
584,2018,Quicksilver Resources/ Kohlberg Kravis Roberts & Co. L.P. (KKR),Fortune Creek Gas Plant,BC,Energy,Private,Oil & Gas - Downstream,No,1,0,0,0,0,1,$500M - $999M
585,2018,New Gold,Rainy River Gold Mine,ON,Mining,Private,Precious Metal,No,1,0,1,0,0,0,"$1,000M - $4,999M"
587,2018,Rio Tinto Alcan Inc.,Kemano Tunnel Project (T2),BC,Energy,Private,Other,Yes,1,0,0,0,0,1,$500M - $999M
593,2018,Enbridge,Westcoast Connector Gas Transmission Project,BC,Energy,Private,Trans & Distr,No,1,0,0,0,0,1,"$5,000M+"
595,2018,Surmont Energy Ltd.,Wildwood,AB,Energy,Private,Waste Biomass,Yes,1,0,0,0,0,1,$500M - $999M
599,2018,TransCanada,Northern Courier Pipeline Project,AB,Energy,Private,Trans & Distr,No,1,0,1,0,0,0,$500M - $999M
600,2018,TransCanada,Coastal GasLink Pipeline Project (TransCanada),BC,Energy,Private,Trans & Distr,No,1,0,0,0,0,1,"$1,000M - $4,999M"
601,2018,TransCanada,Energy East,Multi,Energy,Private,Clean Electricity,Yes,1,0,0,0,0,0,"$5,000M+"
602,2018,NOVA Gas Transmission Ltd. (TransCanada),Northwest Mainline Komie North Natural Gas Pipeline Expansion,Multi,Energy,Private,NG Power Gen,No,1,0,1,1,0,0,$100M - $499M
604,2018,TransCanada Keystone Pipeline GP Ltd.,Keystone XL Oil Pipeline Project,Multi,Energy,Private,Trans & Distr,No,1,0,0,0,0,1,"$1,000M - $4,999M"
605,2018,TransCanada/Phoenix Energy Holding Limited (Grand Rapids Pipeline Limited Partnership),Grand Rapids Pipeline project,AB,Energy,Private,Trans & Distr,No,1,0,1,0,0,0,"$1,000M - $4,999M"
606,2018,Treasury Metals Inc.,Goliath Complex,ON,Mining,Private,Precious Metal,No,0,1,0,0,0,1,$100M - $499M
607,2018,Value Creation Inc.,TriStar Advanced (In Situ + Upgrader),AB,Energy,Private,Oil & Gas - Downstream,No,1,0,0,0,0,1,"$1,000M - $4,999M"
611,2018,Atlantic Gold Corporation,Moose River Consolidated Project,NS,Mining,Private,Precious Metal,No,1,0,1,0,0,0,$100M - $499M
620,2018,KGHM International,Victoria Project,ON,Mining,Private,Other,No,0,1,0,0,0,1,$500M - $999M
623,2018,Argonaut Gold,Magino Mine,ON,Mining,Private,Precious Metal,No,1,0,0,0,0,1,$500M - $999M
625,2018,Agnico Eagle - Yamana Gold,Upper Beaver,ON,Mining,Private,Precious Metal,No,1,0,0,0,0,0,$100M - $499M
626,2018,IAMGOLD Corp./Sumitomo Metal Mining,Cote Lake Project,ON,Mining,Private,Precious Metal,No,0,1,0,1,0,1,"$1,000M - $4,999M"
627,2018,Algonquin Power & Utilities Corp.,Wind Projects,SK,Energy,Private,Clean Electricity,Yes,1,0,1,0,0,0,$100M - $499M
628,2018,Yancoal Canada Resources,Southey Potash Project,SK,Mining,Private,Other,No,1,0,0,0,0,1,"$1,000M - $4,999M"
633,2018,Glencore plc,Sukunka Coal Mine,BC,Mining,Private,Coal,No,0,1,0,0,0,1,$100M - $499M
