unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
37,2020,"Woodside, Chevron",Kitimat LNG Terminal,"Bish Cove, Kitimat",BC,Approved,Energy,4500,54.063468,-128.63858,Private,Oil & Gas - Downstream,No,EN-OG-D,1,0,1,0,0
37,2021,Woodside Energy International (Canada) Limited and Chevron Canada,Kitimat LNG Terminal,Bish Cove,BC,Announced & Planning,Energy,4500,54.063468,-128.63858,Private,Oil & Gas - Downstream,No,EN-OG-D,1,0,0,0,1
52,2017,Brion Energy Corporation,Dover (PetroChina),Regional Municipality of Wood Buffalo (RMWB) & Municipal District of Opportunity,AB,Approved,Energy,8000,57.26280072,-112.6400757,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
52,2018,Brion Energy Corporation,Dover (PetroChina),Regional Municipality of Wood Buffalo (RMWB) & Municipal District of Opportunity,AB,Approved,Energy,8000,57.26280072,-112.6400757,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
52,2019,Brion Energy Corporation,Dover (PetroChina),Regional Municipality of Wood Buffalo (RMWB) & Municipal District of Opportunity,AB,Approved,Energy,8000,57.2628,-112.6401,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
52,2020,Brion Energy Corporation,Dover (PetroChina),Regional Municipality of Wood Buffalo (RMWB) & Municipal District of Opportunity,AB,Announced & Planning,Energy,8000,57.26280072,-112.6400757,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
52,2021,PetroChina,Dover (PetroChina),Regional Municipality of Wood Buffalo (RMWB) & Municipal District of Opportunity,AB,Announced & Planning,Energy,8000,57.26280072,-112.6400757,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,0,0,1
55,2017,Paladin Energy,Michelin Uranium Project,Michelin and Jacques Lake sites,NL,Announced & Planning,Mining,1127,54.563304,-60.052643,Private,Other,No,MIN-OTH,1,0,0,0,1
57,2017,Alloycorp Mining Inc,Kitsault,Alice Arm,BC,Under Construction,Mining,1213,55.422,-129.421,Private,Critical Mineral,Yes,MIN-CM,0,1,0,1,0
67,2017,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,8740,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2018,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,10700,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2019,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,10700,56.2508,-120.8483,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2020,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,10700,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2021,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,10700,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2022,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,16000,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2023,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,16000,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
67,2024,BC Hydro,Peace River Site C Hydro-electric project,Fort St. John,BC,Under Construction,Energy,16000,56.250789,-120.848293,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
68,2017,BC Hydro,John Hart Replacement,Campbell River,BC,Under Construction,Energy,1093,50.046998,-125.273781,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
68,2018,BC Hydro,John Hart Replacement,Campbell River,BC,Under Construction,Energy,1093,50.046998,-125.273781,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
68,2019,BC Hydro,John Hart Replacement,Campbell River,BC,Under Construction,Energy,985,50.047,-125.2738,Public,Clean Electricity,Yes,EN-CLEL,0,1,0,1,0
69,2017,BC Hydro,Ruskin Dam and Powerhouse Seismic Improvement Project,Mission,BC,Under Construction,Energy,748,49.200887,-122.419846,Public,Clean Electricity,Yes,EN-CLEL,0,1,1,0,0
69,2018,BC Hydro,Ruskin Dam and Powerhouse Seismic Improvement Project,Mission,BC,Under Construction,Energy,748,49.200887,-122.419846,Public,Clean Electricity,Yes,EN-CLEL,0,1,0,1,0
73,2017,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,2600,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2018,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,3800,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2019,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,3900,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2020,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,3900,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2021,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,3800,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2022,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,7500,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2023,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,7500,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
73,2024,BHP,Jansen Stage 1,Jansen,SK,Under Construction,Mining,7500,51.85,-104.69,Private,Other,No,MIN-OTH,0,1,1,0,0
75,2017,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,In Review,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
75,2018,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
75,2019,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,2927,55.6117,-112.6119,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
75,2020,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
75,2021,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
75,2022,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
75,2023,IPC Canada Ltd.,Blackrod,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,2927,55.611711,-112.611923,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
