Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,greenfield_flag,FOAK_flag
2122,Yun Ka Whu'ten Holdings,Biomass Project - Anahim Lake,BC,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,15,0.072,52.465348,-125.317541,Energy,Waste Biomass,Yes,EN-BIO,1,0
2123,Ainsworth Energy Co. Ltd.,Tumbler Ridge Bioenergy Project,BC,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,15,0.072,50.024653,-119.373429,Energy,Waste Biomass,Yes,EN-BIO,1,1
2124,Nations Energy Corp.,Biomass Project - Kamloops,BC,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,15,0.072,50.716188,-120.388986,Energy,Waste Biomass,Yes,EN-BIO,1,1
2126,CNRL / NRC / Pond Biofuels,Algae Carbon Conversion Pilot Project,AB,Private,2018,2023,6,Announced & Planning,Announced & Planning,0,0,19,0.085,54.585082,-110.262585,Energy,CCUS,Yes,EN-CCU,1,1
3002,La Granaduiere,Pellet Plant,QC,Private,2018,2021,4,Announced & Planning,Under Construction,0,1,50,0.214,46.6688,-73.9573,Forest,Other,Yes,FOR-OTH,1,0
3004,FPInnovations and Resolute Forest Products,TMP-Bio,ON,Private,2018,2019,2,Announced & Planning,Announced & Planning,0,0,21,0.103,48.3809,-89.2477,Forest,Other,Yes,FOR-OTH,1,0
3005,Kruger,Operations diversification,QC,Private,2018,2018,1,Announced & Planning,Announced & Planning,0,0,22.3,0.113,46.32724,-72.557502,Forest,Other,Yes,FOR-OTH,1,0
3006,Kruger,Operations diversification,QC,Private,2018,2018,1,Announced & Planning,Announced & Planning,0,0,32.9,0.154,46.358881,-72.519968,Forest,Other,Yes,FOR-OTH,1,0
3007,Kruger,Operations diversification,QC,Private,2018,2018,1,Announced & Planning,Announced & Planning,0,0,47.5,0.206,45.479943,-71.962107,Forest,Other,Yes,FOR-OTH,1,0
3008,Fortress Global Enterprises,Bioproduct mill,QC,Private,2018,2019,2,Announced & Planning,Announced & Planning,0,0,150,0.441,45.598715,-75.256778,Forest,Pulp & Paper,No,FOR-P&P,1,0
3101,Frontier Lithium Inc.,Pakeagama Lake,ON,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,869.316174,0.788,52.6,-93.37,Mining,Critical Mineral,Yes,MIN-CM,1,0
3102,Tacora Resources Inc,Scully,NL,Private,2018,2019,2,Approved,Under Construction,0,1,335,0.598,52.91,-66.91,Mining,Other,No,MIN-OTH,1,0
3103,Goldcorp Inc.,Porcupine (Century),ON,Private,2018,2020,3,Announced & Planning,In Review,0,0,1278.7,0.841,48.46,-81.24,Mining,Precious Metal,No,MIN-PM,1,0
3104,Gensource Potash Corp,Vanguard,SK,Private,2018,2024,7,Announced & Planning,Approved,1,0,353.6,0.615,50.84,-106.21,Mining,Other,No,MIN-OTH,1,0
3105,Ram River Coal,Aries,AB,Private,2018,2024,7,Announced & Planning,Announced & Planning,1,0,1028,0.816,52.18,-115.58,Mining,Coal,No,MIN-COAL,1,0
3106,Glencore plc,Onaping Depth,ON,Private,2018,2024,7,Announced & Planning,Under Construction,1,1,1500,0.863,46.63706,-81.36921,Mining,Other,No,MIN-OTH,1,0
3200,Innergex Renewable Energy Inc.,Big Creek Hydroelectric,BC,Private,2018,2020,3,In Review,In Review,0,0,0,0,51.801592,-122.75735,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3201,Bridge Power Hydro Developments Ltd.,Bitter Creek,BC,Public,2018,2018,1,In Review,In Review,0,0,0,0,0,0,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3202,BC Hydro,BC Hydro Upgrade Alberni/Long Beach Transmission Line,BC,Public,2018,2022,5,In Review,In Review,0,0,42,0.186,0,0,Energy,Clean Electricity,Yes,EN-CLEL,0,0
3205,NB Power,Fundy Isles Transmission Power Line Project,NB,Public,2018,2019,2,In Review,Under Construction,0,1,35,0.157,44.946988,-66.974109,Energy,Trans & Distr,No,EN-T&D,1,0
3206,Hydro-Quebec,New England Clean Energy Connect (NECEC) project,QC,Public,2018,2024,7,Announced & Planning,Under Construction,1,1,950,0.801,45.72302,-70.984282,Energy,Clean Electricity,Yes,EN-CLEL,1,0
3208,"Transmission Developers Inc. (TDI),",Transmission Line - Champlain Hudson Power Express,QC,Private,2018,2024,7,Announced & Planning,Under Construction,1,1,2200,0.903,45.096127,-73.343089,Energy,Trans & Distr,No,EN-T&D,1,0
3211,Dahl Creek Hydro Power Limited Partnership,Dahl Creek Hydroelectric Project,BC,Private,2018,2022,5,In Review,In Review,0,0,0,0,0,0,Energy,Clean Electricity,Yes,EN-CLEL,1,0
