unique_id,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,entry_year,entry_status,last_year,last_status,reporting_years,active,graduate,dropout,success_flag,first_construction_year_success,years_to_construction_success,years_to_graduation,years_active,years_to_dropout,cleantech,cost_band
2121.0,Ainsworth Energy Co. Ltd.,Anahim Lake Bioenergy Project,,BC,Announced & Planning,Energy,15.0,52.418398,-126.486276,Private,Waste Biomass,2018,Announced & Planning,2024,Announced & Planning,7,1,0,0,0,,,,7.0,,Yes,<$100M
2122.0,Yun Ka Whu'ten Holdings,Biomass Project - Anahim Lake,,BC,Announced & Planning,Energy,15.0,52.465348,-125.317541,Private,Waste Biomass,2018,Announced & Planning,2024,Announced & Planning,7,1,0,0,0,,,,7.0,,Yes,<$100M
2123.0,Ainsworth Energy Co. Ltd.,Tumbler Ridge Bioenergy Project,,BC,Announced & Planning,Energy,15.0,50.024653,-119.373429,Private,Waste Biomass,2018,Announced & Planning,2024,Announced & Planning,7,1,0,0,0,,,,7.0,,Yes,<$100M
2124.0,Nations Energy Corp.,Biomass Project - Kamloops,,BC,Announced & Planning,Energy,15.0,50.716188,-120.388986,Private,Waste Biomass,2018,Announced & Planning,2024,Announced & Planning,7,1,0,0,0,,,,7.0,,Yes,<$100M
2126.0,CNRL / NRC / Pond Biofuels,Algae Carbon Conversion Pilot Project,,AB,Announced & Planning,Energy,19.0,54.585082,-110.262585,Private,CCUS,2018,Announced & Planning,2023,Announced & Planning,6,0,0,1,0,,,,,6.0,Yes,<$100M
3002.0,La Granaduiere,Pellet Plant,,QC,Announced & Planning,Forest,43.0,46.6688,-73.9573,Private,Other,2018,Announced & Planning,2021,Under Construction,4,0,1,0,1,2021.0,4.0,4.0,,,Yes,<$100M
3004.0,FPInnovations and Resolute Forest Products,TMP-Bio,,ON,Announced & Planning,Forest,21.0,48.3809,-89.2477,Private,Other,2018,Announced & Planning,2019,Announced & Planning,2,0,0,1,0,,,,,2.0,Yes,<$100M
3005.0,Kruger,Operations diversification,,QC,Announced & Planning,Forest,22.3,46.32724,-72.557502,Private,Other,2018,Announced & Planning,2018,Announced & Planning,1,0,0,1,0,,,,,1.0,Yes,<$100M
3006.0,Kruger,Operations diversification,,QC,Announced & Planning,Forest,32.9,46.358881,-72.519968,Private,Other,2018,Announced & Planning,2018,Announced & Planning,1,0,0,1,0,,,,,1.0,Yes,<$100M
3007.0,Kruger,Operations diversification,,QC,Announced & Planning,Forest,47.5,45.479943,-71.962107,Private,Other,2018,Announced & Planning,2018,Announced & Planning,1,0,0,1,0,,,,,1.0,Yes,<$100M
