Unique ID,company,project,province,company_type,start_year,end_year,reporting_years,start_status,end_status,current_survival,end_success,project_cost,cost_percentile,latitude_1,longitude_1,sector,group,cleantech,abbreviation,_cost_quintile_bayes,p_bayes,risk_score,years_remaining,p_cox,blended_prob,priority_index,urgency_scale_(0-1),power_ranking
5067,Ontario Power Generation,Redevelopment of Coniston station,ON,Public,2021,2024,4,Announced & Planning,Announced & Planning,1,0,85.0,0.318,,,Energy,Clean Electricity,Yes,EN-LCF,0,0.8867811168699334,1.317900285357946,1.0,0.06653198135678029,0.5586814626646721,0.5586814626646721,0.2334204513717331,0.42857705814749647
5069,Canada Nickel Company Inc.,Crawford,ON,Private,2024,2024,1,In Review,In Review,1,0,2655.1095,0.917,48.83972,-81.37309,Mining,Critical Mineral,Yes,MIN-CM,4,0.585365504066369,0.4649743186529237,4.0,0.02399812882767305,0.36081855397089063,0.09020463849272266,0.037087145153770894,0.23132599044404273
5074,New Age Metals Inc.,River Valley Palladium,ON,Private,2024,2024,1,Announced & Planning,Announced & Planning,1,0,606.348,0.725,46.70591,-80.27606,Mining,Precious Metal,No,MIN-PM,3,0.8329612207130856,0.3937641530442728,4.0,0.02036054410689292,0.5079209500706086,0.12698023751765214,0.05249938023599205,0.3257523221367619
5076,Resolve Energie,Usine de production d'ethanol cellulosique,QC,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,300.0,0.574,46.4833314,-70.6166642,Energy,Oil & Gas - Upstream,No,EN-OG-U,2,0.8222467873962317,0.5839675455477698,1.0,0.030046468072143284,0.5053666596665963,0.5053666596665963,0.2110768241037819,0.38765072544147056
5077,Greenfield Global,Agrandissement usine d'ethanol a Varennes,QC,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,120.0,0.389,45.6820019,-73.44098293,Energy,Low Carbon Fuels,Yes,EN-LCF,1,0.8127220775616291,0.7788205762350136,1.0,0.03986987115939855,0.5035811950007368,0.5035811950007368,0.2103285561791025,0.3862801394720831
5086,DEEP,DEEP Geothermal ,SK,Private,2021,2024,4,Announced & Planning,Announced & Planning,1,0,256.0,0.551,,,Energy,Clean Electricity,Yes,EN-CLEL,2,0.9696297825014337,0.9258758127409857,1.0,0.047217646595432816,0.6006649281390333,0.6006649281390333,0.2510152440226574,0.4608050544924829
6002,Highwood Organics Processing,Aldersyde Bioenergy Facility,AB,Private,2022,2024,3,Approved,Approved,1,0,25.0,0.125,50.63106,-113.87501,Energy,Waste Biomass,Yes,EN-BIO,0,0.9182477560727055,1.2549336006167915,2.0,0.06345632950990021,0.5763311854475833,0.28816559272379166,0.12005032847654504,0.393818842659168
6016,Voltarix Group,Creekside Solar Project,AB,Private,2022,2024,3,Announced & Planning,Approved,1,0,43.0,0.189,53.247146,-113.825172,Energy,Clean Electricity,Yes,EN-CLEL,0,0.9455720921326908,1.2549336006167915,2.0,0.06345632950990021,0.5927257870835746,0.2963628935417873,0.1234857239723734,0.4050297618390941
6018,FortisBC,Eagle Mountain - Woodfibre Gas Pipeline,BC,Private,2022,2024,3,Announced & Planning,Announced & Planning,1,0,350.0,0.603,,,Energy,Trans & Distr,No,EN-T&D,2,0.09074145344100426,0.24257989904601776,2.0,0.012592683813049566,0.05948194558982239,0.029740972794911193,0.011747510875188568,0.040388171703968856
6019,Skeena Resources Ltd.,Eskay Creek Mine,BC,Private,2022,2024,3,Announced & Planning,In Review,1,0,713.0,0.75,,,Mining,Precious Metal,No,MIN-PM,3,0.04053747028432772,0.1027271167914559,2.0,0.005352204439095898,0.02646336394623499,0.013231681973117495,0.004828654950809007,0.017809480348064597
